Spot No,Spot No,Source file,Fish code,My code,Region,My site,Na23_ppm,Mg24_ppm,Ni60_ppm,Cu63_ppm,Sr88_ppm,Ba137_ppm
5,5,Slide23 -CK1 - 05.d,LC 020334,CK1,Pilbara,Cape Keraudren (1/2),1427,6.78,0.027,0.090,2896,2.33
6,6,Slide23 -CK1 - 06.d,LC 020334,CK1,Pilbara,Cape Keraudren (1/2),1373,6.68,0.032,0.078,2958,2.57
7,7,Slide23 -CK1 - 07.d,LC 020334,CK1,Pilbara,Cape Keraudren (1/2),1308,6.56,0.032,0.082,3058,3.33
8,8,Slide23 -CK1 - 08.d,LC 020334,CK1,Pilbara,Cape Keraudren (1/2),1416,6.52,0.035,0.086,2741,2.45
9,9,Slide23 -CK1 - 09.d,LC 020334,CK1,Pilbara,Cape Keraudren (1/2),1496,6.55,0.041,0.088,2834,2.43
10,10,Slide23 -CK1 - 10.d,LC 020334,CK1,Pilbara,Cape Keraudren (1/2),1443,6.65,0.041,0.095,3209,3.04
11,11,Slide23 -CK1 - 11.d,LC 020334,CK1,Pilbara,Cape Keraudren (1/2),1447,6.54,0.040,0.073,2942,2.67
12,margin,Slide23 -CK1 - 12.d,LC 020334,CK1,Pilbara,Cape Keraudren (1/2),1377,7.74,0.045,0.098,3392,2.49
1,core,Slide22 -CK2 - 01.d,LC 020337,CK2,Pilbara,Cape Keraudren (1/2),3008,37.41,0.025,0.343,1543,31.60
2,2,Slide22 -CK2 - 02.d,LC 020337,CK2,Pilbara,Cape Keraudren (1/2),2408,21.31,0.044,0.129,1692,17.89
3,3,Slide22 -CK2 - 03.d,LC 020337,CK2,Pilbara,Cape Keraudren (1/2),2168,17.49,0.028,0.126,1725,4.23
4,4,Slide22 -CK2 - 04.d,LC 020337,CK2,Pilbara,Cape Keraudren (1/2),2054,17.88,0.033,0.107,1784,2.76
5,5,Slide22 -CK2 - 05.d,LC 020337,CK2,Pilbara,Cape Keraudren (1/2),1923,14.05,0.044,0.090,2164,2.49
6,6,Slide22 -CK2 - 06.d,LC 020337,CK2,Pilbara,Cape Keraudren (1/2),1986,16.74,0.028,0.111,2458,2.42
7,7,Slide22 -CK2 - 07.d,LC 020337,CK2,Pilbara,Cape Keraudren (1/2),1794,15.30,0.045,0.107,2356,3.51
8,8,Slide22 -CK2 - 08.d,LC 020337,CK2,Pilbara,Cape Keraudren (1/2),1877,34.78,0.032,0.108,2489,2.65
9,margin,Slide22 -CK2 - 09.d,LC 020337,CK2,Pilbara,Cape Keraudren (1/2),1867,32.93,0.028,0.128,2480,2.43
1,core,Slide23 -CK3 - 01.d,LC 020323,CK3,Pilbara,Cape Keraudren (1/2),3442,50.60,0.037,0.208,1570,6.22
2,2,Slide23 -CK3 - 02.d,LC 020323,CK3,Pilbara,Cape Keraudren (1/2),2565,23.02,0.032,0.118,1984,1.97
3,3,Slide23 -CK3 - 03.d,LC 020323,CK3,Pilbara,Cape Keraudren (1/2),1960,30.99,0.039,0.108,2164,1.54
4,4,Slide23 -CK3 - 04.d,LC 020323,CK3,Pilbara,Cape Keraudren (1/2),1689,29.60,0.035,0.097,2584,1.83
5,5,Slide23 -CK3 - 05.d,LC 020323,CK3,Pilbara,Cape Keraudren (1/2),1621,34.10,0.043,0.097,2652,1.72
6,6,Slide23 -CK3 - 06.d,LC 020323,CK3,Pilbara,Cape Keraudren (1/2),1606,35.68,0.039,0.096,3004,1.84
7,7,Slide23 -CK3 - 07.d,LC 020323,CK3,Pilbara,Cape Keraudren (1/2),1686,48.78,0.030,0.109,3417,2.05
8,8,Slide23 -CK3 - 08.d,LC 020323,CK3,Pilbara,Cape Keraudren (1/2),1606,60.30,0.044,0.110,3130,2.35
9,margin,Slide23 -CK3 - 09.d,LC 020323,CK3,Pilbara,Cape Keraudren (1/2),1570,95.30,0.035,0.139,3050,2.31
1,core,Slide20 -CK4 - 01.d,LC 020324,CK4,Pilbara,Cape Keraudren (1/2),3293,72.50,0.099,0.421,2241,23.60
2,2,Slide20 -CK4 - 02.d,LC 020324,CK4,Pilbara,Cape Keraudren (1/2),2160,15.15,0.043,0.114,2059,5.38
3,3,Slide20 -CK4 - 03.d,LC 020324,CK4,Pilbara,Cape Keraudren (1/2),1790,8.62,0.032,0.093,2320,3.19
4,4,Slide20 -CK4 - 04.d,LC 020324,CK4,Pilbara,Cape Keraudren (1/2),2015,11.67,0.025,0.088,1867,6.20
5,5,Slide20 -CK4 - 05.d,LC 020324,CK4,Pilbara,Cape Keraudren (1/2),1871,12.65,0.031,0.081,1895,2.99
6,6,Slide20 -CK4 - 06.d,LC 020324,CK4,Pilbara,Cape Keraudren (1/2),1752,12.43,0.041,0.070,2060,1.76
7,7,Slide20 -CK4 - 07.d,LC 020324,CK4,Pilbara,Cape Keraudren (1/2),1675,9.24,0.038,0.055,2433,1.93
8,8,Slide20 -CK4 - 08.d,LC 020324,CK4,Pilbara,Cape Keraudren (1/2),1732,10.60,0.039,0.077,2526,2.33
9,9,Slide20 -CK4 - 09.d,LC 020324,CK4,Pilbara,Cape Keraudren (1/2),1637,7.58,0.046,0.058,3587,4.66
10,10,Slide20 -CK4 - 10.d,LC 020324,CK4,Pilbara,Cape Keraudren (1/2),1735,9.98,0.043,0.070,2942,2.41
11,11,Slide20 -CK4 - 11.d,LC 020324,CK4,Pilbara,Cape Keraudren (1/2),1532,8.57,0.042,0.092,3867,3.54
12,margin,Slide20 -CK4 - 12.d,LC 020324,CK4,Pilbara,Cape Keraudren (1/2),1476,9.78,0.043,0.085,3612,3.15
1,core,Slide23 -CL1 - 01.d,LC 15-08-08_01,CL1,Kimberley,Bigge Island N (2/5),3064,45.91,0.038,1.413,2077,2.51
2,2,Slide23 -CL1 - 02.d,LC 15-08-08_01,CL1,Kimberley,Bigge Island N (2/5),2279,15.66,0.036,0.218,1990,25.16
3,3,Slide23 -CL1 - 03.d,LC 15-08-08_01,CL1,Kimberley,Bigge Island N (2/5),1989,13.64,0.044,0.193,2123,6.86
4,4,Slide23 -CL1 - 04.d,LC 15-08-08_01,CL1,Kimberley,Bigge Island N (2/5),1904,10.49,0.041,0.234,2308,3.60
5,5,Slide23 -CL1 - 05.d,LC 15-08-08_01,CL1,Kimberley,Bigge Island N (2/5),1837,8.18,0.044,0.284,2457,4.21
6,6,Slide23 -CL1 - 06.d,LC 15-08-08_01,CL1,Kimberley,Bigge Island N (2/5),1734,8.48,0.043,0.275,2354,3.11
7,7,Slide23 -CL1 - 07.d,LC 15-08-08_01,CL1,Kimberley,Bigge Island N (2/5),1552,6.51,0.044,0.282,3064,4.86
8,8,Slide23 -CL1 - 08.d,LC 15-08-08_01,CL1,Kimberley,Bigge Island N (2/5),1568,6.68,0.039,0.324,2964,3.26
9,9,Slide23 -CL1 - 09.d,LC 15-08-08_01,CL1,Kimberley,Bigge Island N (2/5),1512,6.32,0.045,0.580,2864,2.57
10,10,Slide23 -CL1 - 10.d,LC 15-08-08_01,CL1,Kimberley,Bigge Island N (2/5),1533,6.81,0.042,0.848,3167,3.66
11,margin,Slide23 -CL1 - 11.d,LC 15-08-08_01,CL1,Kimberley,Bigge Island N (2/5),1510,7.57,0.052,1.040,3093,3.28
1,core,Slide21 -CL2 - 01.d,LC 15-08-08_02,CL2,Kimberley,Bigge Island N (2/5),2726,38.33,0.044,0.123,1950,13.70
2,2,Slide21 -CL2 - 02.d,LC 15-08-08_02,CL2,Kimberley,Bigge Island N (2/5),1634,6.82,0.045,0.163,2842,2.50
3,3,Slide21 -CL2 - 03.d,LC 15-08-08_02,CL2,Kimberley,Bigge Island N (2/5),1583,8.12,0.032,0.070,2678,2.84
4,4,Slide21 -CL2 - 04.d,LC 15-08-08_02,CL2,Kimberley,Bigge Island N (2/5),1405,5.97,0.034,0.083,3258,2.81
5,5,Slide21 -CL2 - 05.d,LC 15-08-08_02,CL2,Kimberley,Bigge Island N (2/5),1491,6.61,0.031,0.072,2759,2.35
